名前,チーム,背番号,得セット,失セット,勝敗,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
フランシスムヤカバング,近畿クラブスフィーダ,22,3,6,1,8,38,19,4,50.0,39.5,0,0,0,4,24,0,5,8,4,1,0,23,,2.38,0.5,3.1,25.0
リウトマリオ,アイシンティルマーレ,14,6,1,2,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
中村洸稀,近畿クラブスフィーダ,2,3,6,1,7,35,17,2,48.6,42.9,1,1,0,3,18,0,2,3,1,0,1,20,100.0,2.43,0.43,1.4,50.0
中田雄大,近畿クラブスフィーダ,12,6,10,2,9,0,0,0,,,0,0,0,0,29,0,3,6,0,0,0,0,,0.0,0.0,2.6,
久保下航平,アイシンティルマーレ,7,29,8,9,37,19,5,2,26.3,15.8,1,0,0,10,152,17,31,35,1,0,0,32,0.0,0.14,0.27,11.8,0.0
久門伸司,近畿クラブスフィーダ,15,0,6,0,6,0,0,0,,,0,0,0,0,0,0,0,0,54,19,15,0,,0.0,0.0,,49.1
井上尚人,近畿クラブスフィーダ,23,11,6,3,12,0,0,0,,,0,0,0,0,18,1,5,8,0,0,0,1,,0.0,0.0,9.7,
井澤大輔,アイシンティルマーレ,5,26,8,8,15,31,13,1,41.9,38.7,0,0,0,2,55,2,5,7,4,3,1,17,,0.87,0.13,4.5,87.5
今中聖也,長野GaRons,13,10,10,3,5,6,2,1,33.3,16.7,0,0,0,1,5,0,2,0,0,0,0,3,,0.4,0.2,-10.0,
伊藤優介,トヨタモビリティ東京スパークル,21,7,21,1,1,2,0,0,0.0,0.0,0,0,0,0,4,0,2,3,0,0,0,0,,0.0,0.0,6.2,
佐々木優汰,アイシンティルマーレ,9,23,7,7,16,41,15,5,36.6,24.4,0,0,0,3,65,0,4,17,1,1,0,18,,0.94,0.19,5.0,100.0
北村宏樹,近畿クラブスフィーダ,9,20,16,6,29,23,7,3,30.4,17.4,0,0,0,1,50,2,4,10,64,30,13,10,,0.24,0.03,7.0,57.0
友渕瑠宇久,近畿クラブスフィーダ,17,6,8,2,5,12,5,4,41.7,8.3,0,0,0,0,10,0,2,2,5,1,2,5,,1.0,0.0,0.0,40.0
大原悠,近畿クラブスフィーダ,16,3,3,1,6,0,0,0,,,0,0,0,0,6,0,1,0,6,1,3,0,,0.0,0.0,-4.2,41.7
