試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,1,,松下祐太,3,■,■,■,nan,nan,12,6,2,50.0,33.3,2.00,0,0,0,-,0,-,11,0,1,2,2.3,10,3,3,45.0,6
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,2,,鰐川怜児,2,nan,□,■,nan,nan,17,5,2,29.4,17.6,2.50,11,2,2,18.2,0,-,6,0,1,2,4.2,0,0,0,-,5
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,3,,高井大輝,3,■,■,■,nan,nan,3,0,1,0.0,-33.3,-,1,0,0,0.0,0,-,9,0,0,3,8.3,0,0,0,-,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,4,,福池凌太,3,■,■,■,nan,nan,34,15,3,44.1,35.3,5.00,8,4,2,50.0,0,-,9,0,5,1,-11.1,6,3,2,66.7,15
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,5,,浅田潮,2,■,■,nan,nan,nan,10,1,3,10.0,-20.0,0.50,2,0,1,0.0,0,-,7,0,0,2,7.1,6,4,1,75.0,1
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,6,,篠原和政,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,7,,石坂ハスナヌ,3,■,■,■,nan,nan,11,6,0,54.5,54.5,2.00,0,0,0,-,2,0.67,10,1,0,3,17.5,3,2,1,83.3,9
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,9,,荻野颯大,1,□,nan,nan,nan,nan,2,1,0,50.0,50.0,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,1
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,10,,柳生大成,2,■,■,nan,nan,nan,5,4,0,80.0,80.0,2.00,0,0,0,-,1,0.50,4,0,0,0,0.0,2,0,0,0.0,5
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,11,L,新関忠稀,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,19,5,76.8,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,12,,山田広大,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,5,0,4,40.0,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,13,,今中聖也,2,nan,□,■,nan,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,1,0.50,3,0,1,0,-8.3,0,0,0,-,2
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,15,L,難波宏冶,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,17,,矢澤雅敦,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2021-12-04,長野GaRons,アイシンティルマーレ,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,96,39,11,40.6,29.2,13.00,22,6,5,27.3,4,1.33,62,1,9,13,3.2,60,31,16,65.0,44
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,1,,滝沢優樹,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,2,10.0,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,3,,水野将司,3,■,■,■,nan,nan,9,4,0,44.4,44.4,1.33,0,0,0,-,1,0.33,7,0,0,0,0.0,0,0,0,-,5
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,4,,斎藤総人,3,■,■,■,nan,nan,23,12,0,52.2,52.2,4.00,3,0,0,0.0,0,-,13,0,2,2,0.0,12,6,2,58.3,12
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,5,,井澤大輔,3,□,■,■,nan,nan,6,4,0,66.7,66.7,1.33,0,0,0,-,0,-,17,2,0,2,14.7,0,0,0,-,6
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,6,,新保遥己,3,■,■,■,nan,nan,26,16,2,61.5,53.8,5.33,9,5,2,55.6,2,0.67,9,1,4,1,2.8,0,0,0,-,19
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,7,,久保下航平,3,■,■,■,nan,nan,2,0,0,0.0,0.0,-,1,0,0,0.0,0,-,10,0,3,1,-5.0,1,0,0,0.0,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,8,L,安田剛,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,10,L,鈴木康平,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,11,1,71.9,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,12,,山下直樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,14,,リウトマリオ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,15,,杉本峻作,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,16,,菅原幸紀,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,20,,櫻井翔馬,1,■,nan,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2021-12-04,アイシンティルマーレ,長野GaRons,3,0,1,21,,岡森怜夢,3,■,■,■,nan,nan,21,9,2,42.9,33.3,3.00,6,1,2,16.7,0,-,9,0,0,2,5.6,23,11,7,63.0,9
